id,make,model,trim,year,term,mileage,residual_percentage,money_factor,apr,msrp,selling_price,acquisition_fee,registration_fee,doc_fee,monthly_payment,due_at_signing,lender,zip_code,region,effective_month,deal_id,source_url
226,Acura,Integra,Base (CVT) CVT,2026,36,10000,75,0.00181,4.3440,34595,34595,595,498,85,503,1283,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574993,https://autobandit.com/deals/574993
230,Acura,Integra,Type S Manual,2026,48,10000,75,0.00305,7.3200,55295,55295,595,699,85,798,2230,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574897,https://autobandit.com/deals/574897
227,Acura,Integra,w/A-Spec Package CVT,2026,36,10000,50,0.00181,4.3440,37845,35952.75,595,573,85,513,1387,American Honda Finance Corp.,91204,"Los Angeles, CA",2026-06,327461,https://autobandit.com/deals/327461
228,Acura,Integra,w/A-Spec Technology Package CVT,2026,36,10000,50,0.00181,4.3440,40395,38375.25,595,589,85,559,1450,American Honda Finance Corp.,91204,"Los Angeles, CA",2026-06,246321,https://autobandit.com/deals/246321
229,Acura,Integra,w/A-Spec Technology Package Manual,2026,36,10000,75,0.00181,4.3440,41635,41635,595,611,85,628,1522,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,575000,https://autobandit.com/deals/575000
374,Acura,MDX,Base FWD,2026,48,10000,75,0.00173,4.1520,53250,53250,595,686,85,736,1419,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,597778,https://autobandit.com/deals/597778
212,Acura,MDX,Base SH-AWD,2026,48,10000,75,0.00173,4.1520,56050,56050,595,705,85,774,1438,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574894,https://autobandit.com/deals/574894
218,Acura,MDX,Type S w/Advance Package SH-AWD,2026,48,10000,50,0.00173,4.1520,77800,73910,595,853,85,1087,2692,American Honda Finance Corp.,91204,"Los Angeles, CA",2026-06,327464,https://autobandit.com/deals/327464
217,Acura,MDX,w/A-Spec Advance Package SH-AWD,2026,48,10000,50,0.00173,4.1520,70850,67307.5,595,810,85,990,1561,American Honda Finance Corp.,91204,"Los Angeles, CA",2026-06,234239,https://autobandit.com/deals/234239
214,Acura,MDX,w/A-Spec Package SH-AWD,2026,48,10000,50,0.00173,4.1520,64350,61132.5,595,770,85,859,1521,American Honda Finance Corp.,91204,"Los Angeles, CA",2026-06,234258,https://autobandit.com/deals/234258
216,Acura,MDX,w/Advance Package SH-AWD,2026,48,10000,50,0.00173,4.1520,68850,65407.5,595,799,85,962,1550,American Honda Finance Corp.,91204,"Los Angeles, CA",2026-06,234238,https://autobandit.com/deals/234238
213,Acura,MDX,w/Technology Package FWD,2026,48,10000,75,0.00173,4.1520,58550,58550,595,720,85,833,1453,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574909,https://autobandit.com/deals/574909
215,Acura,MDX,w/Technology Package SH-AWD,2026,48,10000,75,0.00173,4.1520,60750,60750,595,768,85,864,1501,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574913,https://autobandit.com/deals/574913
219,Acura,RDX,Base SH-AWD,2026,36,10000,75,0.00147,3.5280,46550,46550,595,642,85,662,2037,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574905,https://autobandit.com/deals/574905
223,Acura,RDX,w/A-Spec Advance Package SH-AWD,2026,36,10000,75,0.00147,3.5280,56300,56300,595,706,85,849,2287,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574915,https://autobandit.com/deals/574915
221,Acura,RDX,w/A-Spec Package SH-AWD,2026,36,10000,75,0.00147,3.5280,52150,52150,595,679,85,771,2183,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,574930,https://autobandit.com/deals/574930
222,Acura,RDX,w/Advance Package SH-AWD,2026,36,10000,75,0.00147,3.5280,54300,54300,595,693,85,818,2244,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,597777,https://autobandit.com/deals/597777
220,Acura,RDX,w/Technology Package SH-AWD,2026,36,10000,75,0.00147,3.5280,49150,49150,595,659,85,713,2105,American Honda Finance Corp.,92782,"Los Angeles, CA",2026-06,604837,https://autobandit.com/deals/604837
225,Acura,TLX,w/A-Spec Package SH-AWD,2025,48,10000,75,0.00305,7.3200,52195,52195,595,679,85,920,2345,American Honda Finance Corp.,91401,"Los Angeles, CA",2026-06,554692,https://autobandit.com/deals/554692
224,Acura,TLX,w/Technology Package FWD,2025,48,10000,75,0.00305,7.3200,47195,47195,595,646,85,813,2206,American Honda Finance Corp.,91401,"Los Angeles, CA",2026-06,554679,https://autobandit.com/deals/554679
255,Honda,CR-V,EX 2WD,2026,36,10000,50,0.00237,5.6880,34600,33562,1095,492,85,370,2166,Teachers Federal Credit Union,90249,"Los Angeles, CA",2026-06,522814,https://autobandit.com/deals/522814
257,Honda,CR-V,EX AWD,2026,36,10000,25,0.00237,5.6880,36100,35017,1095,568,85,375,2244,Teachers Federal Credit Union,90503,"Los Angeles, CA",2026-06,502322,https://autobandit.com/deals/502322
258,Honda,CR-V,EX-L 2WD,2026,36,10000,50,0.00237,5.6880,36850,35744.5,1095,572,85,394,2270,Teachers Federal Credit Union,90755,"Los Angeles, CA",2026-06,521529,https://autobandit.com/deals/521529
259,Honda,CR-V,EX-L AWD,2026,36,10000,50,0.00237,5.6880,38350,37199.5,1095,581,85,399,2284,Teachers Federal Credit Union,90703,"Los Angeles, CA",2026-06,345337,https://autobandit.com/deals/345337
256,Honda,CR-V,LX 2WD,2026,39,10000,75,0.00237,5.6880,32455,31481.35,1095,479,85,374,2160,Teachers Federal Credit Union,90232,"Los Angeles, CA",2026-06,507723,https://autobandit.com/deals/507723
394,Honda,CR-V,LX AWD,2026,36,10000,75,0.00233,5.5920,33870,32853.9,995,488,85,370,2054,RIZE C.U.,90232,"Los Angeles, CA",2026-06,346358,https://autobandit.com/deals/346358
262,Honda,HR-V,EX-L 2WD CVT,2026,36,10000,50,0.00237,5.6880,31800,30846,1095,475,85,331,2110,Teachers Federal Credit Union,90249,"Los Angeles, CA",2026-06,499052,https://autobandit.com/deals/499052
260,Honda,HR-V,LX 2WD CVT,2026,36,10000,50,0.00237,5.6880,27950,27111.5,1095,450,85,307,2061,Teachers Federal Credit Union,90249,"Los Angeles, CA",2026-06,522820,https://autobandit.com/deals/522820
264,Honda,HR-V,LX AWD CVT,2026,36,10000,50,0.00192,4.6080,29150,28275.5,595,458,85,378,1588,American Honda Finance Corp.,90703,"Los Angeles, CA",2026-06,298313,https://autobandit.com/deals/298313
261,Honda,HR-V,Sport 2WD CVT,2026,36,10000,50,0.00237,5.6880,29750,28857.5,1095,462,85,318,2084,Teachers Federal Credit Union,90703,"Los Angeles, CA",2026-06,505246,https://autobandit.com/deals/505246
263,Honda,HR-V,Sport AWD CVT,2026,36,10000,50,0.00237,5.6880,31250,30312.5,1095,471,85,334,2109,Teachers Federal Credit Union,90755,"Los Angeles, CA",2026-06,360633,https://autobandit.com/deals/360633
286,Honda,Odyssey,EX-L Auto,2026,36,10000,50,0.00237,5.6880,44290,42961.3,1095,619,85,511,2434,Teachers Federal Credit Union,90745,"Los Angeles, CA",2026-06,446327,https://autobandit.com/deals/446327
289,Honda,Odyssey,Elite Auto,2026,39,10000,25,0.00233,5.5920,53190,51594.3,995,675,85,662,2527,RIZE C.U.,90503,"Los Angeles, CA",2026-06,346280,https://autobandit.com/deals/346280
287,Honda,Odyssey,Sport-L Auto,2026,36,10000,75,0.00237,5.6880,45845,44469.65,1095,629,85,556,2492,Teachers Federal Credit Union,90232,"Los Angeles, CA",2026-06,532025,https://autobandit.com/deals/532025
288,Honda,Odyssey,Touring Auto,2026,36,10000,50,0.00237,5.6880,48990,47520.3,1095,649,85,607,2559,Teachers Federal Credit Union,90745,"Los Angeles, CA",2026-06,360935,https://autobandit.com/deals/360935
