make,model,trim,year,msrp,selling_price,term,credit_tier,tier_range,credit_score,band,residual_pct,residual_dollar,money_factor,apr,monthly_payment,base_monthly,tax_pct,due_at_signing,cap_cost,mileage_adj,incentive_total,incentives,acquisition_fee,registration_fee,lender,lender_code,deal_id,region,zip_code,effective_month,source_url
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,24,Super Elite,740+,750,740-1000,72.0,18399.6,0.00189,4.536,281.38,254.64,10.5,1476.81,22648.94,766.65,250,HMF Special Lease $250,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,30,Super Elite,740+,750,740-1000,59.0,15077.45,0.00282,6.768,326.53,295.5,10.5,1705.71,20898.94,766.65,2000,"HMA Retail Bonus Cash $2,000",650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,36,Super Elite,740+,750,740-1000,66.0,16866.3,0.00219,5.256,273.12,247.17,10.5,1468.55,22648.94,766.65,250,HMF Special Lease $250,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,39,Super Elite,740+,750,740-1000,60.0,15333,0.00225,5.4,286.31,259.1,10.5,1534.24,22148.94,766.65,750,HMF Special Lease $750,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,42,Super Elite,740+,750,740-1000,49.0,12521.95,0.00282,6.768,324.54,293.7,10.5,1703.72,20898.94,766.65,2000,"HMA Retail Bonus Cash $2,000",650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,48,Super Elite,740+,750,740-1000,57.0,14566.35,0.00257,6.168,298.23,269.89,10.5,1467.41,22898.94,766.65,0,,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Kona,SE FWD,2026,27710,26878.7,24,Super Elite,740+,750,740-1000,68.0,18842.8,0.00187,4.488,320.14,289.72,10.5,1896.32,23878.7,831.3,3000,"HMF Special Lease $3,000",650,449,Hyundai Motor Finance,HMF,546338,"Los Angeles, CA",91401,2026-06,https://autobandit.com/deals/546338
Hyundai,Kona,SE FWD,2026,27710,26878.7,30,Super Elite,740+,750,740-1000,55.0,15240.5,0.00282,6.768,529.96,479.6,10.5,1869.89,26128.7,831.3,750,HMA Retail Bonus Cash $750,650,449,Hyundai Motor Finance,HMF,546338,"Los Angeles, CA",91401,2026-06,https://autobandit.com/deals/546338
Hyundai,Kona,SE FWD,2026,27710,26878.7,36,Super Elite,740+,750,740-1000,58.0,16071.8,0.00211,5.064,341.03,308.62,10.5,1890.96,24128.7,831.3,2750,"HMF Special Lease $2,750",650,449,Hyundai Motor Finance,HMF,546338,"Los Angeles, CA",91401,2026-06,https://autobandit.com/deals/546338
Hyundai,Kona,SE FWD,2026,27710,26878.7,39,Super Elite,740+,750,740-1000,52.0,14409.2,0.00227,5.448,348.93,315.77,10.5,1977.61,23378.7,831.3,3500,"HMF Special Lease $3,500",650,449,Hyundai Motor Finance,HMF,546338,"Los Angeles, CA",91401,2026-06,https://autobandit.com/deals/546338
Hyundai,Kona,SE FWD,2026,27710,26878.7,42,Super Elite,740+,750,740-1000,45.0,12469.5,0.00282,6.768,479.65,434.07,10.5,1819.58,26128.7,831.3,750,HMA Retail Bonus Cash $750,650,449,Hyundai Motor Finance,HMF,546338,"Los Angeles, CA",91401,2026-06,https://autobandit.com/deals/546338
Hyundai,Kona,SE FWD,2026,27710,26878.7,48,Super Elite,740+,750,740-1000,51.0,14132.1,0.00266,6.384,381.52,345.27,10.5,1773.95,25628.7,831.3,1250,"HMF Special Lease $1,250",650,449,Hyundai Motor Finance,HMF,546338,"Los Angeles, CA",91401,2026-06,https://autobandit.com/deals/546338
Hyundai,Tucson,SE FWD,2026,31725,30297.38,24,Super Elite,740+,750,740-1000,65.0,20621.25,0.00021,0.504,434.19,392.93,10.5,1769.87,29797.38,951.75,500,HMF Special Lease $500,650,471,Hyundai Motor Finance,HMF,260538,"Los Angeles, CA",93551,2026-06,https://autobandit.com/deals/260538
Hyundai,Tucson,SE FWD,2026,31725,30297.38,30,Super Elite,740+,750,740-1000,56.0,17766,0.00282,6.768,611.34,553.25,10.5,1894.52,30297.38,951.75,0,,650,471,Hyundai Motor Finance,HMF,260538,"Los Angeles, CA",93551,2026-06,https://autobandit.com/deals/260538
